trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12213F2586070:2024-01-25T00:46:21Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2586070:2024-01-25T00:46:21Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F2586070:2024-01-25T00:46:21Z,22:24:00,22:27:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F2586070:2024-01-25T00:46:21Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F2586070:2024-01-25T00:46:21Z,23:42:00,23:42:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F2607289:2023-12-21T00:50:45Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2607289:2023-12-21T00:50:45Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F2607289:2023-12-21T00:50:45Z,22:24:00,22:27:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F2607289:2023-12-21T00:50:45Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F2607289:2023-12-21T00:50:45Z,23:42:00,23:42:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F2607537:2024-02-06T00:30:41Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2607537:2024-02-06T00:30:41Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F2607537:2024-02-06T00:30:41Z,22:24:00,22:27:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F2607537:2024-02-06T00:30:41Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F2607537:2024-02-06T00:30:41Z,23:42:00,23:42:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12244F2411099:2024-01-09T00:38:43Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F2411099:2024-01-09T00:38:43Z,20:47:00,20:50:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F2411099:2024-01-09T00:38:43Z,20:59:00,20:59:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12244F2665357:2024-02-08T00:29:23Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F2665357:2024-02-08T00:29:23Z,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F2665357:2024-02-08T00:29:23Z,20:55:00,20:55:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12246F2596883:2024-01-10T00:41:00Z,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
