value,page,position
18000000,968,352
18000010,619,860
18000020,299,863
18000030,1577,769
18000040,1217,305
18000050,1315,420
18000060,1391,802
18000070,1124,893
18000080,246,254
18000090,285,418
18000100,639,83
18000110,1380,922
18000120,822,451
18000130,1382,572
18000140,1440,659
18000150,749,134
18000160,1780,129
18000170,1138,30
18000180,440,533
18000190,458,921
18000200,759,993
18000210,1682,207
18000220,1806,523
18000230,1942,208
18000240,1248,122
18000250,814,28
18000260,1043,468
18000270,178,323
18000280,1140,157
18000290,850,903
18000300,1039,890
18000310,558,419
18000320,398,495
18000330,28,2
18000340,515,530
18000350,40,723
18000360,189,764
18000370,1864,951
18000380,775,260
18000390,883,958
18000400,765,84
18000410,1862,410
18000420,1903,186
18000430,1389,445
18000440,316,88
18000450,512,49
18000460,1138,339
18000470,1227,127
18000480,1697,169
18000490,1721,857
18000500,244,233
18000510,287,474
18000520,910,207
18000530,447,567
18000540,1486,516
18000550,149,271
18000560,1732,296
18000570,492,622
18000580,753,604
18000590,226,575
18000600,1869,505
18000610,735,796
18000620,778,840
18000630,1090,523
18000640,375,66
18000650,471,813
18000660,1494,476
18000670,829,107
18000680,884,624
18000690,708,306
18000700,840,985
18000710,1219,959
18000720,500,98
18000730,145,649
18000740,1796,885
18000750,1700,885
18000760,1149,40
18000770,1898,948
18000780,327,56
18000790,1533,827
18000800,1346,21
18000810,420,136
18000820,977,390
18000830,1167,682
18000840,982,362
18000850,1455,404
18000860,1591,692
18000870,729,119
18000880,87,473
18000890,1799,301
18000900,1805,257
18000910,91,879
18000920,415,365
18000930,1858,371
18000940,23,222
18000950,1201,45
18000960,1234,537
18000970,1729,412
18000980,1660,619
18000990,1478,569
18001000,1118,154
18001010,220,767
18001020,133,168
18001030,947,235
18001040,1107,881
18001050,1759,257
18001060,1180,873
18001070,836,697
18001080,1493,502
18001090,325,490
18001100,661,847
18001110,145,55
18001120,115,771
18001130,174,259
18001140,85,552
18001150,840,543
18001160,385,739
18001170,780,584
18001180,471,44
18001190,708,996
18001200,730,1
18001210,1416,623
18001220,384,327
18001230,734,504
18001240,902,905
18001250,890,818
18001260,1671,976
18001270,1682,62
18001280,1627,63
18001290,1549,232
18001300,28,568
18001310,816,825
18001320,1078,931
18001330,1413,711
18001340,1944,983
18001350,1636,343
18001360,954,42
18001370,283,550
18001380,579,307
18001390,135,341
18001400,455,902
18001410,616,131
18001420,1889,760
18001430,307,74
18001440,304,3
18001450,518,176
18001460,570,75
18001470,734,4
18001480,414,524
18001490,494,673
18001500,740,482
18001510,1297,645
18001520,1115,535
18001530,1275,845
18001540,180,572
18001550,1938,829
18001560,1657,584
18001570,220,291
18001580,487,110
18001590,1790,508
18001600,1706,921
18001610,872,286
18001620,1186,99
18001630,1177,552
18001640,824,774
18001650,179,658
18001660,1105,529
18001670,949,677
18001680,176,310
18001690,1207,177
18001700,194,61
18001710,1681,301
18001720,842,704
18001730,1161,507
18001740,1112,747
18001750,1021,501
18001760,1791,379
18001770,802,710
18001780,829,634
18001790,1370,782
18001800,1158,349
18001810,1204,137
18001820,1486,823
18001830,1365,5
18001840,1119,543
18001850,391,91
18001860,889,722
18001870,106,32
18001880,535,944
18001890,1147,130
18001900,1556,695
18001910,1847,983
18001920,1015,208
18001930,748,321
18001940,1687,627
18001950,1984,636
18001960,1198,9
18001970,665,779
18001980,77,698
18001990,598,139
18002000,268,76
18002010,225,581
18002020,1935,13
18002030,1754,315
18002040,1564,725
18002050,1955,236
18002060,679,419
18002070,387,948
18002080,671,906
18002090,1956,263
18002100,182,935
18002110,1158,63
18002120,1578,328
18002130,114,992
18002140,1776,915
18002150,1584,2
18002160,1034,776
18002170,275,55
18002180,183,702
18002190,784,405
18002200,310,813
18002210,1110,690
18002220,1725,610
18002230,1585,425
18002240,414,946
18002250,319,639
18002260,1271,176
18002270,1171,61
18002280,160,554
18002290,377,335
18002300,1511,142
18002310,1763,318
18002320,679,155
18002330,1995,936
18002340,321,82
18002350,792,796
18002360,1905,127
18002370,984,571
18002380,578,573
18002390,226,788
18002400,148,453
18002410,660,383
18002420,148,806
18002430,597,793
18002440,1095,340
18002450,411,3
18002460,903,841
18002470,1255,774
18002480,1475,631
18002490,1815,88
18002500,797,204
18002510,793,995
18002520,669,811
18002530,190,378
18002540,863,159
18002550,1373,494
18002560,918,750
18002570,217,553
18002580,197,344
18002590,290,194
18002600,1982,655
18002610,193,265
18002620,857,45
18002630,984,336
18002640,468,874
18002650,1529,566
18002660,1575,769
18002670,1609,67
18002680,414,531
18002690,1945,652
18002700,772,57
18002710,777,563
18002720,1242,187
18002730,1876,49
18002740,1920,691
18002750,876,740
18002760,1569,68
18002770,925,88
18002780,721,79
18002790,1850,659
18002800,269,258
18002810,683,457
18002820,1133,268
18002830,633,687
18002840,1993,994
18002850,1210,467
18002860,404,898
18002870,293,474
18002880,926,235
18002890,711,346
18002900,1220,578
18002910,1535,38
18002920,756,133
18002930,104,495
18002940,446,453
18002950,572,731
18002960,1144,3
18002970,1964,724
18002980,1996,371
18002990,1851,280
18003000,399,927
18003010,486,414
18003020,1909,998
18003030,114,517
18003040,925,435
18003050,514,542
18003060,82,727
18003070,1245,397
18003080,1217,992
18003090,307,210
18003100,1236,854
18003110,523,689
18003120,1349,578
18003130,907,543
18003140,856,847
18003150,468,675
18003160,1082,906
18003170,604,785
18003180,537,504
18003190,1234,675
18003200,1043,259
18003210,1007,188
18003220,445,670
18003230,354,155
18003240,1124,972
18003250,629,322
18003260,1878,150
18003270,1177,672
18003280,458,487
18003290,149,423
18003300,1862,642
18003310,630,31
18003320,79,224
18003330,947,115
18003340,897,237
18003350,824,595
18003360,3,123
18003370,680,476
18003380,1825,872
18003390,1050,690
18003400,83,927
18003410,546,951
18003420,1077,668
18003430,1229,943
18003440,416,903
18003450,1855,502
18003460,854,720
18003470,926,168
18003480,1645,38
18003490,1235,896
18003500,527,282
18003510,367,888
18003520,391,439
18003530,416,882
18003540,575,736
18003550,888,834
18003560,1995,88
18003570,148,444
18003580,901,533
18003590,1494,189
18003600,1588,482
18003610,1466,698
18003620,1538,409
18003630,1526,407
18003640,1105,361
18003650,183,430
18003660,1330,313
18003670,1071,937
18003680,1419,196
18003690,1047,97
18003700,100,58
18003710,687,423
18003720,1879,548
18003730,1501,304
18003740,1559,175
18003750,1398,767
18003760,1744,398
18003770,1729,388
18003780,674,83
18003790,1585,352
18003800,1349,891
18003810,1671,772
18003820,378,44
18003830,688,307
18003840,379,292
18003850,1267,552
18003860,10,636
18003870,465,814
18003880,1099,233
18003890,129,631
18003900,381,790
18003910,861,642
18003920,154,479
18003930,1245,20
18003940,1331,253
18003950,1171,189
18003960,1457,499
18003970,1115,849
18003980,324,118
18003990,126,325
18004000,24,686
18004010,1888,614
18004020,300,222
18004030,651,851
18004040,36,498
18004050,441,159
18004060,1337,410
18004070,1079,508
18004080,1119,565
18004090,1652,807
18004100,1323,290
18004110,181,463
18004120,90,75
18004130,1480,192
18004140,1216,804
18004150,346,991
18004160,1892,558
18004170,1666,664
18004180,219,948
18004190,1031,451
18004200,501,880
18004210,1591,409
18004220,1261,10
18004230,1120,741
18004240,41,756
18004250,1530,975
18004260,477,832
18004270,1123,16
18004280,168,644
18004290,1790,706
18004300,581,234
18004310,1240,723
18004320,216,428
18004330,1144,320
18004340,1782,826
18004350,1564,611
18004360,176,826
18004370,564,333
18004380,1923,126
18004390,79,609
18004400,361,847
18004410,1486,732
18004420,705,87
18004430,1410,733
18004440,1653,427
18004450,1901,27
18004460,834,700
18004470,996,124
18004480,1861,184
18004490,378,164
18004500,558,741
18004510,1475,597
18004520,376,449
18004530,302,28
18004540,1292,958
18004550,360,259
18004560,935,365
18004570,278,803
18004580,1107,800
18004590,1278,768
18004600,1950,112
18004610,1046,631
18004620,643,877
18004630,104,189
18004640,888,810
18004650,954,8
18004660,372,654
18004670,331,350
18004680,274,710
18004690,1542,191
18004700,619,327
18004710,1074,910
18004720,1734,899
18004730,1346,778
18004740,1260,932
18004750,1758,848
18004760,1393,615
18004770,1975,670
18004780,139,776
18004790,1680,357
18004800,17,475
18004810,978,162
18004820,1627,593
18004830,537,709
18004840,915,287
18004850,1462,426
18004860,1504,837
18004870,349,744
18004880,868,826
18004890,1475,802
18004900,469,498
18004910,648,585
18004920,1590,543
18004930,1677,690
18004940,785,739
18004950,228,906
18004960,860,995
18004970,885,660
18004980,1363,178
18004990,95,937
18005000,1252,881
18005010,610,568
18005020,1726,933
18005030,1089,376
18005040,1920,124
18005050,1779,214
18005060,792,387
18005070,722,469
18005080,8,542
18005090,745,512
18005100,377,393
18005110,1431,659
18005120,908,380
18005130,130,663
18005140,1866,820
18005150,1626,893
18005160,557,244
18005170,39,138
18005180,1531,914
18005190,282,601
18005200,637,529
18005210,786,565
18005220,1545,881
18005230,1211,797
18005240,1212,508
18005250,1959,493
18005260,314,106
18005270,313,319
18005280,1790,278
18005290,556,241
18005300,1810,659
18005310,1069,68
18005320,1393,551
18005330,785,705
18005340,1626,343
18005350,849,385
18005360,1272,619
18005370,18,447
18005380,285,128
18005390,673,796
18005400,1091,235
18005410,971,519
18005420,1548,164
18005430,1995,133
18005440,1474,249
18005450,279,840
18005460,468,457
18005470,188,712
18005480,1301,883
18005490,1208,561
18005500,984,334
18005510,70,634
18005520,1406,647
18005530,321,250
18005540,1677,357
18005550,202,192
18005560,726,518
18005570,349,429
18005580,50,556
18005590,1648,231
18005600,1506,619
18005610,1497,899
18005620,1691,617
18005630,142,673
18005640,1026,528
18005650,1276,252
18005660,1789,544
18005670,690,149
18005680,1898,33
18005690,27,52
18005700,1997,775
18005710,583,16
18005720,970,808
18005730,1293,902
18005740,946,723
18005750,423,633
18005760,985,365
18005770,1079,834
18005780,1189,254
18005790,1059,839
18005800,1003,432
18005810,391,893
18005820,205,787
18005830,851,732
18005840,617,693
18005850,1764,387
18005860,653,428
18005870,1769,773
18005880,1161,509
18005890,1897,754
18005900,705,986
18005910,1996,461
18005920,1065,564
18005930,1177,831
18005940,164,288
18005950,1059,183
18005960,1442,537
18005970,1403,941
18005980,1274,714
18005990,323,140
18006000,482,536
18006010,1835,655
18006020,946,306
18006030,889,297
18006040,843,122
18006050,1765,461
18006060,33,17
